System,Distance,dEA,dEB,E1_elst,E1_exch,E_elst,E_exch,E_LM,E_LMA,E_LMB,E_int,E_def_tot[A],E_def_tot[B]
H2O..H2O_900,4.157406,0.018937494791231302,0.05083464611394106,-0.07845521446054349,0.1424862809987517,-0.16929677676383292,0.16554638942002486,-0.036257454956455604,-0.04561527856338898,0.00935782360693338,0.0297642986049087,-0.02667778377215768,0.06019246972087444
H2O..H2O_901,4.346379,0.013742515139384182,0.03604371671805495,-0.06292346834809237,0.10095143360490216,-0.1283443815826537,0.12002637887718741,-0.027754068088427175,-0.035966178872612886,0.008212110784185711,0.013714161063545657,-0.022223663733228705,0.04425582750224066
H2O..H2O_902,4.535352,0.009964526706241372,0.025564288528386214,-0.050545920015988344,0.07118562859562999,-0.09757852654569987,0.08568175109646622,-0.020339921433148334,-0.027650395251498594,0.0073104738183502604,0.0032921183522456043,-0.017685868545257222,0.032874762346736475
H2O..H2O_903,4.724324999999999,0.00721928074088396,0.01819222281135069,-0.04083189870187809,0.05000462047495338,-0.07468157625357463,0.0603612409965707,-0.014380382257442648,-0.02083136295705401,0.006450980699611364,-0.003289213962211936,-0.013612082216170052,0.024643203510962053
H2O..H2O_904,5.102271,0.0037826835641396883,0.009343351279767376,-0.027325650436580418,0.02447068497676476,-0.04502767478610181,0.029025817338733724,-0.006553472816278827,-0.011254183743488966,0.004700710927210139,-0.009429295419739851,-0.0074715001793492775,0.014044062206977515
H2O..H2O_905,5.291244,0.002744422022345816,0.0067351790324039484,-0.022684863121735788,0.01707262928950649,-0.035566243802822584,0.019885545600672266,-0.004239013311064355,-0.008103931960050659,0.003864918648986304,-0.010440110458464907,-0.005359509937704843,0.010600097681390253
H2O..H2O_906,5.480217,0.002001889769744025,0.004865153348873719,-0.019029232743729807,0.011899397353042785,-0.028445681135352174,0.013545797199847744,-0.0026678070931751563,-0.005771576369198783,0.003103769276023627,-0.010700647910061842,-0.003769686599454758,0.007968922624897345
H2O..H2O_907,5.654828052,0.0015069669842660005,0.0036046575765027455,-0.016328002778863038,0.008519527162847833,-0.023407141341149185,0.009466238789847588,-0.0016983257588805145,-0.004184673744973111,0.0024863479860925963,-0.010527603749413365,-0.0026777067607071103,0.006091005562595342
H2O..H2O_908,5.858163,0.0010949438520810872,0.002540557232762808,-0.013809848918999279,0.005768006595595725,-0.018912811692182174,0.006217548929896434,-0.000975858218708936,-0.002856102984253539,0.001880244765544603,-0.010035619896150781,-0.0017611591321724518,0.004420801998307411
H2O..H2O_909,6.047136,0.0008235034897694504,0.001832836203448096,-0.011935420276238062,0.004008958846795125,-0.015717624716995005,0.004198777407407987,-0.0005679302334300473,-0.0019918303378716473,0.0014239001044416,-0.009430437849799519,-0.0011683268481021969,0.003256736307889696
H2O..H2O_910,6.236108999999999,0.000626275323753589,0.0013198356163854896,-0.010404115785139112,0.002780118142507413,-0.01321959709881071,0.0028305608363215964,-0.00032212726810598724,-0.001383427627260403,0.0010613003591544157,-0.008765052590456021,-0.000757152303506814,0.0023811359755399053
H2O..H2O_911,6.614055,0.0003727326865003988,0.0006811884139210633,-0.00808162397240153,0.001321527877776489,-0.009662922080233116,0.0012755665565862741,-9.441348528582694e-05,-0.0006602100430086466,0.0005657965577228197,-0.007427847908511207,-0.0002874773565082478,0.001246984971643883
H2O..H2O_912,7.55892,0.00011578580537729977,0.0001349578536178342,-0.004720697227472925,0.0001824918623186591,-0.005139141771955735,0.0001513015993399834,3.707046843715034e-06,-9.51413841505655e-05,9.884843099428053e-05,-0.004733389466776903,2.0644421226734266e-05,0.00023380628461211472
H2O..H2O_913,9.448649999999999,1.9778666441538917e-05,1.0992891589012288e-05,-0.002098717516480164,1.8402297283391308e-06,-0.0021584626763182513,1.8347802809622754e-07,8.498187753502862e-07,-9.664956763799637e-07,1.8163144517302499e-06,-0.0021266578214842536,1.8812170765158953e-05,1.2809206040742538e-05
H2O..H2O_914,11.338379999999999,5.549494488832352e-06,2.7381578036056453e-06,-0.0011451348420710161,7.571914157310233e-09,-0.0011616675622949657,-6.049717284420386e-09,8.041268984015915e-09,-2.237598550891562e-09,1.0278867534907477e-08,-0.0011533779184508281,5.54725689028146e-06,2.748436671140553e-06
